Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
G31 2NJ,No,55.860868,-4.218667,261237,665301,NS612653,6/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,46,,,"Duke Street",0.4,"",""
G31 2NL,Yes,55.86219,-4.221635,261056,665454,NS610654,1/1/1980 12:00:00 AM,,47,14,8,"Bellgrove",0.6,"",""
G31 2NN,Yes,55.86255,-4.221608,261059,665494,NS610654,1/1/1980 12:00:00 AM,,48,35,20,"Bellgrove",0.7,"",""
G31 2NP,Yes,55.862224,-4.22071,261114,665456,NS611654,1/1/1980 12:00:00 AM,,48,84,56,"Alexandra Parade",0.6,"",""
G31 2NQ,Yes,55.859436,-4.220343,261127,665145,NS611651,5/1/2006 12:00:00 AM,,36,74,37,"Bellgrove",0.4,"",""
G31 2NR,Yes,55.86216,-4.219796,261171,665447,NS611654,1/1/1980 12:00:00 AM,,49,22,9,"Alexandra Parade",0.6,"",""
G31 2NS,Yes,55.86189,-4.218805,261232,665415,NS612654,1/1/1980 12:00:00 AM,,49,15,11,"Duke Street",0.5,"",""
G31 2NT,Yes,55.862214,-4.217801,261296,665449,NS612654,1/1/1980 12:00:00 AM,,48,88,42,"Alexandra Parade",0.5,"",""
G31 2NU,Yes,55.862501,-4.217833,261295,665481,NS612654,1/1/1980 12:00:00 AM,,48,102,55,"Alexandra Parade",0.5,"",""
G31 2NW,Yes,55.862524,-4.221015,261096,665490,NS610654,1/1/1980 12:00:00 AM,,49,42,27,"Alexandra Parade",0.7,"",""
G31 2NX,Yes,55.862619,-4.218751,261238,665496,NS612654,1/1/1980 12:00:00 AM,,50,16,10,"Alexandra Parade",0.5,"",""
G31 2NY,Yes,55.862801,-4.217659,261307,665514,NS613655,1/1/1980 12:00:00 AM,,49,111,70,"Alexandra Parade",0.4,"",""
G31 2NZ,Yes,55.863098,-4.217116,261342,665546,NS613655,1/1/1980 12:00:00 AM,,47,146,75,"Alexandra Parade",0.4,"",""
G31 2PA,No,55.863126,-4.217054,261346,665549,NS613655,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,47,,,"Alexandra Parade",0.4,"",""
G31 2PB,Yes,55.863136,-4.219963,261164,665556,NS611655,2/1/1986 12:00:00 AM,,51,32,17,"Alexandra Parade",0.6,"",""
G31 2PD,Yes,55.863123,-4.221209,261086,665557,NS610655,1/1/1980 12:00:00 AM,,50,10,8,"Alexandra Parade",0.7,"",""
G31 2PE,Yes,55.863301,-4.220836,261110,665576,NS611655,1/1/1980 12:00:00 AM,,51,74,41,"Alexandra Parade",0.6,"",""
G31 2PF,Yes,55.863663,-4.219674,261184,665614,NS611656,1/1/1980 12:00:00 AM,,50,65,41,"Alexandra Parade",0.6,"",""
G31 2PG,Yes,55.863556,-4.218613,261250,665600,NS612656,1/1/1980 12:00:00 AM,,49,39,25,"Alexandra Parade",0.5,"",""
G31 2PP,Yes,55.860902,-4.215281,261449,665298,NS614652,1/1/1980 12:00:00 AM,,41,82,47,"Duke Street",0.3,"",""
G31 2PR,Yes,55.860866,-4.215775,261418,665295,NS614652,1/1/1980 12:00:00 AM,,42,35,13,"Duke Street",0.3,"",""
G31 2PS,Yes,55.860733,-4.21671,261359,665282,NS613652,1/1/1980 12:00:00 AM,,42,41,26,"Duke Street",0.3,"",""
G31 2PT,Yes,55.860933,-4.218064,261275,665307,NS612653,1/1/1980 12:00:00 AM,,46,83,46,"Duke Street",0.4,"",""
G31 2PU,Yes,55.86122,-4.218096,261274,665339,NS612653,1/1/1980 12:00:00 AM,,47,43,32,"Duke Street",0.4,"",""
G31 2PW,No,55.860892,-4.218349,261257,665303,NS612653,12/1/1996 12:00:00 AM,6/1/2000 12:00:00 AM,46,,,"Duke Street",0.4,"",""
G31 2PX,Yes,55.861215,-4.217377,261319,665337,NS613653,1/1/1980 12:00:00 AM,,46,53,24,"Duke Street",0.4,"",""
G31 2PY,Yes,55.861497,-4.216658,261365,665367,NS613653,1/1/1980 12:00:00 AM,,44,22,12,"Duke Street",0.4,"",""
G31 2PZ,Yes,55.861531,-4.217794,261294,665373,NS612653,1/1/1980 12:00:00 AM,,47,114,53,"Duke Street",0.5,"",""
G31 2QA,Yes,55.861867,-4.217574,261309,665410,NS613654,1/1/1980 12:00:00 AM,,47,108,57,"Alexandra Parade",0.5,"",""
G31 2QB,Yes,55.861974,-4.216669,261366,665420,NS613654,1/1/1980 12:00:00 AM,,46,19,9,"Alexandra Parade",0.4,"",""
G31 2QD,Yes,55.861912,-4.216122,261400,665412,NS614654,1/1/1980 12:00:00 AM,,45,25,14,"Alexandra Parade",0.4,"",""
G31 2QE,Yes,55.861857,-4.215144,261461,665404,NS614654,1/1/1980 12:00:00 AM,,42,73,46,"Alexandra Parade",0.3,"",""
G31 2QF,Yes,55.861391,-4.214095,261525,665350,NS615653,1/1/1980 12:00:00 AM,,41,12,9,"Alexandra Parade",0.3,"",""
G31 2QG,Yes,55.861769,-4.213077,261590,665390,NS615653,1/1/1980 12:00:00 AM,,40,79,49,"Alexandra Parade",0.2,"",""
